time,cpu,mem,diskRand,diskSeq,fork,uplink
1670357490,992.17,11995.26,155.79,493.57,6567.57575000000000000000,26501
1670357851,1134.20,12000.16,140.56,520.55,5524.05468750000000000000,25829
1670358213,997.38,11195.59,138.90,491.55,6241.93500000000000000000,26833
1670358575,1060.43,11116.70,141.89,487.68,6120.39722222222222222222,22564
1670358936,1060.08,10878.36,139.27,477.00,6438.28447368421052631578,26962
1670359297,1037.89,10839.30,137.15,507.71,4881.76148148148148148148,25095
1670359658,1082.51,11425.06,140.01,454.01,6045.40138888888888888888,22579
1670360020,1086.83,10952.70,124.19,484.96,5922.66600000000000000000,23363
1670360381,1081.66,10159.24,111.00,455.63,5971.44171428571428571428,31309
1670360743,1153.66,12228.98,157.34,582.51,6715.08625000000000000000,29288